Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,cape_link
"Braswell, Geoffrey E.",ANAR 135S - Ancient Mediterranean Civ (A),S319,24,6,100.0 %,100.0 %,6.50,A- (3.83),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=986785
"Clausing, Elizabeth Sarah Frances",ANBI 135 - Genetic Anthro Lab Techniques (A),S219,15,5,100.0 %,100.0 %,3.70,B+ (3.60),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=975279
"Parish, Steven Martin",ANSC 166 - Film and Culture in Asia (A),S219,165,44,100.0 %,97.7 %,4.50,A- (3.91),A- (3.96),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=975280
"Wilder, Linnea Lorene",ANTH 2 - Human Origins (A),S219,19,4,100.0 %,100.0 %,3.00,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=975271
"Kennemore, Amy Michelle",ANTH 21 - Race and Racisms (A),S219,12,6,100.0 %,100.0 %,5.83,A- (3.80),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=975275
"Russell, Whitney Lauren",ANTH 23 - Debating Multiculturalism (A),S219,27,16,100.0 %,100.0 %,5.00,B+ (3.64),A (4.00),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=975277
"Liss, Brady James",ANTH 3 - Global Archaeology (A),S219,16,7,100.0 %,100.0 %,4.79,A- (3.71),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=975273
"Goldstein, Paul S","ANAR 117 - Archaeology Field&Lab, SoCal (A)",S119,17,7,100.0 %,100.0 %,1.36,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=975268
"Berman, Michael David",ANSC 122 - Language in Society (A),S119,29,11,90.9 %,100.0 %,5.95,B+ (3.60),B+ (3.53),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=975262
"Kozelka, Ellen Elizabeth",ANSC 148 - Global Health&Cultrl Diversity (A),S119,17,16,100.0 %,100.0 %,3.63,B+ (3.67),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=975263
"Howland, Matthew David",ANTH 101 - Foundations/Social Complexity (A),S119,17,3,100.0 %,100.0 %,3.83,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=975265
"Hrvoj Mihic, Branka",ANTH 102 - Humans Are Cultural Animals (A),S119,30,13,100.0 %,100.0 %,3.12,A- (3.77),B+ (3.34),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=975266
"Kurian, Amrita Achamma",ANTH 21 - Race and Racisms (A),S119,25,19,89.5 %,88.9 %,5.24,B (3.08),B (3.00),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=975259
"Howland, Matthew David",ANAR 104 - Intro GIS for Anth & Arch (A),SP19,18,11,81.8 %,80.0 %,9.05,B (3.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=974384
"Ben-Yosef, Erez",ANAR 114 - Environmental Hazards - Israel (A),SP19,20,9,55.6 %,66.7 %,4.72,B (3.00),A- (3.76),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=966924
"Shtienberg, Gilad",ANAR 115 - Coastal Geomorphology/Environ (C),SP19,11,3,100.0 %,100.0 %,9.50,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=977138
"Braswell, Geoffrey E.",ANAR 155 - Stdy Abrd: Ancient Mesoamerica (A),SP19,20,10,80.0 %,80.0 %,4.90,A (4.00),A (4.00),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=976559
"Non, Amy L",ANBI 130 - Biology of Inequality (A),SP19,44,24,76.2 %,95.2 %,3.86,B+ (3.32),B- (2.96),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=974164
"Lew, Caroline Horton",ANBI 136 - Human Comparative Neuroanatomy (A),SP19,27,12,100.0 %,100.0 %,4.83,A (4.00),A- (3.87),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=974356
"Gagneux, Pascal",ANBI 139 - Evolution of Human Disease (A),SP19,70,36,100.0 %,100.0 %,4.33,A- (3.71),B+ (3.32),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=966928
"Non, Amy L",ANBI 149 - Social/Behavioral Epigenetics (A),SP19,10,4,100.0 %,100.0 %,4.50,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=975100
"Strum, Shirley C.",ANBI 174 - Conservation/ Media: Film Lab (A),SP19,12,3,100.0 %,100.0 %,2.50,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=966929
"Olivas Hernandez, Olga Lid",ANSC 106 - GH: Indig Med in Latin America (A),SP19,37,12,90.9 %,72.7 %,2.32,A- (3.73),B+ (3.54),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=974964A
"Saravia, Paula F",ANSC 106 - GH: Indig Med in Latin America (A),SP19,37,12,90.9 %,90.9 %,2.32,A- (3.73),B+ (3.54),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=974964
"Fortier, Jana",ANSC 114 - Food Cultures of South Asia (A),SP19,22,9,100.0 %,100.0 %,2.79,B+ (3.43),B+ (3.66),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=966930
"Haviland, John B.",ANSC 122 - Language in Society (A),SP19,44,12,63.6 %,60.0 %,6.83,B- (2.91),B (3.09),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=966932
"Csordas, Thomas J.",ANSC 139 - Native American Health (A),SP19,28,14,84.6 %,61.5 %,3.42,B+ (3.33),B+ (3.32),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=966933
"Postero, Nancy Grey",ANSC 140 - Human Rights II: Contemp Issue (A),SP19,33,11,90.9 %,100.0 %,5.77,B+ (3.55),B+ (3.52),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=966934
"Kaiser, Bronwyn Nicole",ANSC 148 - Global Health&Cultrl Diversity (A),SP19,44,38,92.1 %,100.0 %,3.71,B+ (3.56),B+ (3.53),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=966935
"Varma, Saiba","ANSC 149 - Conflict, Health, & Inequality (A)",SP19,30,23,91.3 %,100.0 %,4.76,B+ (3.50),A- (3.80),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=966936
"Jenkins, Janis A.",ANSC 150 - Culture and Mental Health (A),SP19,5,3,100.0 %,100.0 %,9.83,B+ (3.50),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=966937
"Garth, Hanna Fitzmaurice","ANSC 184 - Food, Culture, and Society (A)",SP19,29,12,90.0 %,100.0 %,4.70,B+ (3.50),B+ (3.39),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=966939
"Hankins, Joseph D.",ANSC 186 - Gender and Incarceration (A),SP19,28,5,100.0 %,100.0 %,3.70,B (3.20),B+ (3.37),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=967233
"Goodman, Yehuda Chaim",ANSC 187 - Mental Health/Israel&Diaspora (A),SP19,6,4,75.0 %,75.0 %,2.50,B (3.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=966940
"Jassal, Aftab",ANSC 188 - Cultures of Healing (A),SP19,14,13,100.0 %,100.0 %,5.12,A- (3.92),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=974544
"Jassal, Aftab",ANSC 190 - Yoga Practices (A),SP19,29,19,94.4 %,100.0 %,2.83,A- (3.88),B+ (3.61),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=966941
"Brenner, Suzanne A",ANTH 103 - Sociocultural Anthropology (A),SP19,142,52,86.3 %,80.4 %,4.07,B+ (3.57),B+ (3.36),https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=966969
"Semendeferi, Ekaterini",ANTH 192 - Senior Seminar in Anthropology (A),SP19,11,8,100.0 %,100.0 %,1.00,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=966970
"Semendeferi, Ekaterini",ANTH 196C - Honors Studies in Anthropology (A),SP19,4,3,100.0 %,100.0 %,3.83,A (4.00),N/A,https://cape.ucsd.edu/responses/CAPEReport.aspx?sectionid=966971
