WARNING - root:combine.py:383 - Workload: N/A cannot be converted to a number
WARNING - root:combine.py:443 - Workload: N/A cannot be converted to a number
ERROR - root:combine.py:98 - Could not find course id from "COM GEN 194"
WARNING - root:combine.py:192 - BIPN 154 was not found in catalog
WARNING - root:combine.py:192 - BIPN 162 was not found in catalog
WARNING - root:combine.py:192 - CAT 125R was not found in catalog
WARNING - root:combine.py:220 - Cannot parse number of units from "Readings in Chinese Culture and Society
				  (4-4-4)"
WARNING - root:combine.py:192 - COGS 111 was not found in catalog
WARNING - root:combine.py:220 - Cannot parse number of units from "Directed Group Study (2 or 4)"
WARNING - root:combine.py:192 - COMM 109I was not found in catalog
WARNING - root:combine.py:192 - COMM 182 was not found in catalog
WARNING - root:combine.py:192 - CSE 95 was not found in catalog
WARNING - root:combine.py:192 - CSE 151A was not found in catalog
WARNING - root:combine.py:220 - Cannot parse number of units from "Seminar in CSE (1�4)"
WARNING - root:combine.py:220 - Cannot parse number of units from "Seminar in CSE (1�4)"
WARNING - root:combine.py:192 - CSS 1 was not found in catalog
WARNING - root:combine.py:220 - Cannot parse number of units from "Seminar in CSE (1�4)"
WARNING - root:combine.py:220 - Cannot parse number of units from "Introduction to Teaching and Learning (Elementary) (4-4)"
WARNING - root:combine.py:220 - Cannot parse number of units from "Introduction to Teaching and Learning (Elementary) (4-4)"
WARNING - root:combine.py:220 - Cannot parse number of units from "Introduction to Teaching and Learning (Elementary) (4-4)"
WARNING - root:combine.py:220 - Cannot parse number of units from "Introduction to Teaching and Learning (Secondary) (4-4-4)"
WARNING - root:combine.py:220 - Cannot parse number of units from "Introduction to Teaching and Learning (Secondary) (4-4-4)"
WARNING - root:combine.py:192 - HDS 60 was not found in catalog
WARNING - root:combine.py:220 - Cannot parse number of units from "Directed Group Study (1�2)"
WARNING - root:combine.py:192 - HILD 2B was not found in catalog
WARNING - root:combine.py:192 - JAPN 140B was not found in catalog
WARNING - root:combine.py:220 - Cannot parse number of units from "Advanced Japanese (4-4-4)"
WARNING - root:combine.py:220 - Cannot parse number of units from "Selected Topics in Contemporary Japanese Studies"
WARNING - root:combine.py:220 - Cannot parse number of units from "Arabic Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Arabic Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Arabic Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Analysis of Arabic (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Analysis of Arabic (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Arabic Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Arabic Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "French Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "French Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "French Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "French Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Analysis of French (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Analysis of French (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "French Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "French Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "French Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Analysis of French (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Analysis of French (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "German Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "German Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "German Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "German Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Analysis of German (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Analysis of German (2"
WARNING - root:combine.py:192 - LIHL 124W was not found in catalog
WARNING - root:combine.py:220 - Cannot parse number of units from "Italian Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Italian Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Analysis of Italian (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Portuguese Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Portuguese Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Analysis of Portuguese
				  (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Intermediate Brazilian
                    Portuguese for the Social Sciences: Ethnicity (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "American Sign Language Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "American Sign Language Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "American Sign Language Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "American Sign Language Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "American Sign Language Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "American Sign Language Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "American Sign Language Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Analysis of American Sign Language (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Analysis of American Sign Language (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Analysis of American Sign Language (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Analysis of American Sign Language (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "American Sign Language Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "American Sign Language Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "American Sign Language Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Analysis of American Sign Language (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Analysis of American Sign Language (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Spanish Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Spanish Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Spanish Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Spanish Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Spanish Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Spanish Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Spanish Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Spanish Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Spanish Conversation (2"
WARNING - root:combine.py:220 - Cannot parse number of units from "Analysis of Spanish (2"
