"AAS 198",IN,A00,F,9:00a-9:50a,TBA,TBA,Chapman, Thandeka K        ,
"AIP 97",IT,B00,TuTh,5:00p-6:20p,TBA,TBA,Rao, Ramesh R           ,
"AIP 197",IN,B00,TuTh,5:00p-6:20p,TBA,TBA,Rao, Ramesh R           ,
"ANAR 116",LE,A00,TuTh,3:30p-4:50p,SOLIS,111,Shtienberg, Gilad         ,
"ANAR 121",LE,A00,W,1:00p-1:50p,SSB,105,Jones, Ian William Nasser     ,
"ANAR 121",LA,A01,W,2:00p-3:50p,ERCA,117,Jones, Ian William Nasser     ,
"ANBI 112",LE,A00,W,10:00a-12:50p,SSB,105,Hanson, Kari Lynne         ,
"ANBI 131",LE,A00,TuTh,11:00a-12:20p,CSB,004,Non, Amy L             ,
"ANBI 141",LE,A00,TuTh,9:30a-10:50a,CENTR,212,Gagneux, Pascal          ,
"ANBI 143",LE,A00,TuTh,3:30p-4:50p,SSB,269,Hrvoj Mihic, Branka        ,
"ANSC 104",LE,A00,MWF,2:00p-2:50p,CENTR,220,Yeh, Rihan Wen Xin         ,
"ANSC 105",LE,A00,TuTh,5:00p-6:20p,WLH,2204,Olivas Hernandez, Olga Lid     ,
"ANSC 118",LE,A00,MWF,1:00p-1:50p,WLH,2206,Williams Green, Leanne Judith   ,
"ANSC 119",LE,A00,TuTh,9:30a-10:50a,HSS,2305A,Haviland, John B.         ,
"ANSC 120",LE,A00,TuTh,3:30p-4:50p,SEQUO,148,Jassal, Aftab           ,
"ANSC 131",LE,A00,TuTh,2:00p-3:20p,CENTR,207,Haviland, John B.         ,
"ANSC 137",LE,A00,MWF,11:00a-11:50a,SOLIS,109,Stewart, Alexander B        ,
"ANSC 148",LE,A00,TuTh,2:00p-3:20p,LEDDN,AUD,Kaiser, Bronwyn Nicole       ,
"ANSC 154",LE,A00,TuTh,3:30p-4:50p,YORK,4050A,Deniz, Dilsa            ,
"ANSC 169",SE,A00,MWF,10:00a-10:50a,HSS,2152,Fortier, Jana           ,
"ANTH 2",LE,A00,TuTh,11:00a-12:20p,LEDDN,AUD,Hrvoj Mihic, Branka        ,
"ANTH 2",DI,A01,M,1:00p-1:50p,TM102,1,Hrvoj Mihic, Branka        ,
"ANTH 2",DI,A02,M,2:00p-2:50p,TM102,1,Hrvoj Mihic, Branka        ,
"ANTH 2",DI,A03,Tu,1:00p-1:50p,TM102,1,Hrvoj Mihic, Branka        ,
"ANTH 2",DI,A04,W,9:00a-9:50a,SEQUO,148,Hrvoj Mihic, Branka        ,
"ANTH 2",DI,A05,W,2:00p-2:50p,WLH,2113,Hrvoj Mihic, Branka        ,
"ANTH 21",LE,A00,MWF,10:00a-10:50a,LEDDN,AUD,Dalla Dea, Ariane Lumena      ,
"ANTH 21",DI,A01,M,12:00p-12:50p,APM,2301,Dalla Dea, Ariane Lumena      ,
"ANTH 21",DI,A02,M,4:00p-4:50p,WLH,2114,Dalla Dea, Ariane Lumena      ,
"ANTH 21",DI,A03,W,9:00a-9:50a,HSS,2150,Dalla Dea, Ariane Lumena      ,
"ANTH 21",DI,A04,W,12:00p-12:50p,SOLIS,109,Dalla Dea, Ariane Lumena      ,
"ANTH 21",LE,B00,TuTh,12:30p-1:50p,WLH,2001,Jones, Ian William Nasser     ,
"ANTH 21",DI,B01,M,10:00a-10:50a,CENTR,220,Jones, Ian William Nasser     ,
"ANTH 21",DI,B02,M,11:00a-11:50a,CENTR,220,Jones, Ian William Nasser     ,
"ANTH 21",DI,B03,M,12:00p-12:50p,CENTR,220,Jones, Ian William Nasser     ,
"ANTH 21",DI,B04,Tu,6:00p-6:50p,WLH,2110,Jones, Ian William Nasser     ,
"ANTH 21",DI,B05,Tu,7:00p-7:50p,CENTR,218,Jones, Ian William Nasser     ,
"ANTH 21",DI,B06,W,3:00p-3:50p,CENTR,220,Jones, Ian William Nasser     ,
"ANTH 21",DI,B07,W,5:00p-5:50p,CENTR,218,Jones, Ian William Nasser     ,
"ANTH 21",DI,B08,Th,3:00p-3:50p,CENTR,201,Jones, Ian William Nasser     ,
"ANTH 21",DI,B09,Th,4:00p-4:50p,CENTR,201,Jones, Ian William Nasser     ,
"ANTH 21",DI,B10,Th,5:00p-5:50p,WLH,2206,Jones, Ian William Nasser     ,
