Course Name,Section Number,Date,Time
ANAR 154,A00,3/17/2020,8:00a-10:59a
ANAR 158,A00,3/16/2020,11:30a-2:29p
ANBI 100,A00,3/16/2020,7:00p-9:59p
ANBI 116,A00,3/17/2020,8:00a-10:59a
ANBI 134,A00,3/16/2020,7:00p-9:59p
ANBI 140,A00,3/18/2020,3:00p-5:59p
ANBI 144,A00,3/19/2020,8:00a-10:59a
ANSC 117,A00,3/19/2020,7:00p-9:59p
ANSC 122,A00,3/17/2020,8:00a-10:59a
ANSC 125,A00,3/19/2020,11:30a-2:29p
ANSC 129,A00,3/19/2020,3:00p-5:59p
ANSC 148,A00,3/17/2020,11:30a-2:29p
ANSC 149,A00,3/17/2020,3:00p-5:59p
ANSC 150,A00,3/16/2020,7:00p-9:59p
ANSC 188,A00,3/19/2020,7:00p-9:59p
ANSC 190,A00,3/17/2020,11:30a-2:29p
ANTH 1,A00,3/17/2020,11:30a-2:29p
ANTH 5,A00,3/20/2020,11:30a-2:29p
ANTH 21,A00,3/19/2020,11:30a-2:29p
ANTH 21,B00,3/19/2020,8:00a-10:59a
ANTH 23,A00,3/18/2020,8:00a-10:59a
ANTH 23,B00,3/20/2020,8:00a-10:59a
ANTH 102,A00,3/20/2020,11:30a-2:29p
ANTH 111,A00,3/19/2020,7:00p-9:59p
BENG 112A,A00,3/19/2020,11:30a-2:29p
BENG 112A,B00,3/17/2020,11:30a-2:29p
BENG 120,A00,3/17/2020,3:00p-5:59p
BENG 123,A00,3/17/2020,3:00p-5:59p
BENG 125,A00,3/19/2020,7:00p-9:59p
BENG 130,A00,3/17/2020,11:30a-2:29p
BENG 140A,A00,3/17/2020,8:00a-10:59a
BENG 140A,B00,3/19/2020,8:00a-10:59a
BENG 152,A00,3/20/2020,8:00a-10:59a
BENG 161B,A00,3/17/2020,3:00p-5:59p
BENG 161B,B00,3/17/2020,3:00p-5:59p
BENG 168,A00,3/19/2020,7:00p-9:59p
BENG 181,A00,3/18/2020,7:00p-9:59p
BENG 186B,A00,3/19/2020,3:00p-5:59p
BENG 186B,B00,3/19/2020,7:00p-9:59p
BENG 191,A00,3/18/2020,11:30a-2:29p
BIBC 102,A00,3/20/2020,3:00p-5:59p
BIBC 102,B00,3/18/2020,3:00p-5:59p
BICD 100,A00,3/17/2020,3:00p-5:59p
BICD 100,B00,3/19/2020,8:00a-10:59a
BICD 100,C00,3/18/2020,3:00p-5:59p
BICD 102,A00,3/16/2020,7:00p-9:59p
BICD 110,A00,3/19/2020,3:00p-5:59p
BICD 136,A00,3/19/2020,7:00p-9:59p
BICD 145,A00,3/18/2020,11:30a-2:29p
BIEB 102,A00,3/17/2020,8:00a-10:59a
BIEB 128,A00,3/20/2020,8:00a-10:59a
BIEB 130,A00,3/17/2020,11:30a-2:29p
BIEB 134,A00,3/17/2020,8:00a-10:59a
BIEB 150,A00,3/19/2020,7:00p-9:59p
BILD 1,A00,3/19/2020,3:00p-5:59p
BILD 1,B00,3/17/2020,11:30a-2:29p
BILD 1,C00,3/17/2020,3:00p-5:59p
BILD 2,A00,3/19/2020,8:00a-10:59a
BILD 2,B00,3/17/2020,3:00p-5:59p
BILD 3,A00,3/17/2020,8:00a-10:59a
BILD 3,B00,3/16/2020,11:30a-2:29p
BILD 4,A00,3/17/2020,7:00p-9:59p
BILD 4,B00,3/17/2020,7:00p-9:59p
BILD 10,A00,3/17/2020,11:30a-2:29p
BILD 38,A00,3/19/2020,8:00a-10:59a
BILD 60,A00,3/19/2020,3:00p-5:59p
BIMM 100,A00,3/19/2020,8:00a-10:59a
BIMM 100,B00,3/17/2020,7:00p-9:59p
BIMM 110,A00,3/16/2020,8:00a-10:59a
BIMM 112,A00,3/19/2020,3:00p-5:59p
BIMM 114,A00,3/18/2020,11:30a-2:29p
BIMM 116B,A00,3/19/2020,7:00p-9:59p
BIMM 118,A00,3/19/2020,8:00a-10:59a
BIMM 120,A00,3/19/2020,7:00p-9:59p
BIMM 134,A00,3/19/2020,8:00a-10:59a
BIMM 143,A00,3/17/2020,8:00a-10:59a
BIMM 162,A00,3/16/2020,11:30a-2:29p
BIMM 164,A00,3/17/2020,8:00a-10:59a
BIMM 172,A00,3/16/2020,8:00a-10:59a
BIMM 181,A00,3/18/2020,7:00p-9:59p
BIMM 194,B00,3/20/2020,8:00a-10:59a
BIPN 100,A00,3/21/2020,11:30a-2:29p
BIPN 100,B00,3/21/2020,11:30a-2:29p
BIPN 102,A00,3/16/2020,11:30a-2:29p
BIPN 105,A00,3/18/2020,11:30a-2:29p
BIPN 105,B00,3/18/2020,11:30a-2:29p
BIPN 108,A00,3/19/2020,3:00p-5:59p
BIPN 140,A00,3/19/2020,3:00p-5:59p
BIPN 150,A00,3/19/2020,8:00a-10:59a
BIPN 154,A00,3/19/2020,11:30a-2:29p
BIPN 160,A00,3/17/2020,3:00p-5:59p
BIPN 162,A00,3/19/2020,3:00p-5:59p
CAT  2,A00,3/18/2020,8:00a-10:59a
CAT  2,B00,3/19/2020,11:30a-2:29p
CAT  2,C00,3/20/2020,11:30a-2:29p
CAT  2,D00,3/17/2020,3:00p-5:59p
CAT  2,E00,3/17/2020,8:00a-10:59a
CCS  101,A00,3/20/2020,11:30a-2:29p
CGS  101,A00,3/17/2020,11:30a-2:29p
CGS  105,A00,3/19/2020,7:00p-9:59p
CGS  106,A00,3/19/2020,3:00p-5:59p
CGS  117,A00,3/19/2020,7:00p-9:59p
CGS  121,A00,3/19/2020,11:30a-2:29p
CGS  123,A00,3/18/2020,7:00p-9:59p
CHEM 1,A00,3/16/2020,11:30a-2:29p
CHEM 6A,A00,3/17/2020,8:00a-10:59a
CHEM 6A,B00,3/18/2020,8:00a-10:59a
CHEM 6B,A00,3/17/2020,7:00p-9:59p
CHEM 6B,B00,3/19/2020,8:00a-10:59a
CHEM 6B,C00,3/17/2020,11:30a-2:29p
CHEM 6B,D00,3/17/2020,3:00p-5:59p
CHEM 6B,E00,3/19/2020,7:00p-9:59p
CHEM 6B,F00,3/17/2020,8:00a-10:59a
CHEM 6B,G00,3/20/2020,8:00a-10:59a
CHEM 6BH,A00,3/17/2020,8:00a-10:59a
CHEM 6C,A00,3/20/2020,8:00a-10:59a
CHEM 12,A00,3/18/2020,3:00p-5:59p
CHEM 40A,A00,3/18/2020,11:30a-2:29p
CHEM 40A,B00,3/18/2020,11:30a-2:29p
CHEM 40A,C00,3/19/2020,11:30a-2:29p
CHEM 40B,A00,3/19/2020,7:00p-9:59p
CHEM 40B,B00,3/19/2020,11:30a-2:29p
CHEM 40B,D00,3/17/2020,7:00p-9:59p
CHEM 40B,E00,3/17/2020,11:30a-2:29p
CHEM 40BH,A00,3/19/2020,11:30a-2:29p
CHEM 40C,A00,3/18/2020,3:00p-5:59p
CHEM 43A,A00,3/16/2020,7:00p-9:59p
CHEM 43A,B00,3/18/2020,7:00p-9:59p
CHEM 100A,A00,3/20/2020,3:00p-5:59p
CHEM 100B,A00,3/16/2020,8:00a-10:59a
CHEM 100B,B00,3/16/2020,8:00a-10:59a
CHEM 114A,A00,3/20/2020,11:30a-2:29p
CHEM 114B,A00,3/16/2020,11:30a-2:29p
CHEM 115,A00,3/17/2020,3:00p-5:59p
CHEM 116,A00,3/19/2020,3:00p-5:59p
CHEM 125,A00,3/19/2020,3:00p-5:59p
CHEM 126B,A00,3/19/2020,11:30a-2:29p
CHEM 131,A00,3/17/2020,7:00p-9:59p
CHEM 134,A00,3/20/2020,11:30a-2:29p
CHEM 143B,A00,3/16/2020,7:00p-9:59p
CHEM 145,A00,3/17/2020,8:00a-10:59a
CHEM 151,A00,3/17/2020,3:00p-5:59p
CHEM 156,A00,3/17/2020,8:00a-10:59a
CHEM 164,A00,3/17/2020,8:00a-10:59a
CHEM 165,A00,3/16/2020,11:30a-2:29p
CHEM 168,A00,3/17/2020,3:00p-5:59p
CHEM 172,A00,3/17/2020,11:30a-2:29p
CHEM 187,A00,3/17/2020,11:30a-2:29p
CHEM 194,A00,3/18/2020,7:00p-9:59p
CHIN 10BD,A00,3/17/2020,8:00a-10:59a
CHIN 10BD,B00,3/19/2020,11:30a-2:29p
CHIN 10BM,A00,3/19/2020,8:00a-10:59a
CHIN 10BN,A00,3/19/2020,11:30a-2:29p
CHIN 10BN,B00,3/19/2020,3:00p-5:59p
CHIN 10BN,C00,3/17/2020,3:00p-5:59p
CHIN 20BD,A00,3/19/2020,3:00p-5:59p
CHIN 20BM,A00,3/17/2020,11:30a-2:30p
CHIN 20BN,A00,3/17/2020,8:00a-10:59a
CHIN 20BN,B00,3/19/2020,3:00p-5:59p
CHIN 100BM,A00,3/19/2020,11:30a-2:29p
CHIN 100BN,A00,3/19/2020,11:30a-2:29p
CHIN 169A,A00,3/17/2020,3:00p-5:59p
CHIN 185A,A00,3/17/2020,11:30a-2:29p
COGS 1,A00,3/19/2020,11:30a-2:29p
COGS 2,A00,3/20/2020,11:30a-2:29p
COGS 3,A00,3/20/2020,8:00a-10:59a
COGS 9,A00,3/19/2020,11:30a-2:29p
COGS 11,A00,3/19/2020,11:30a-2:29p
COGS 14A,A00,3/16/2020,3:00p-5:59p
COGS 14B,A00,3/16/2020,11:30a-2:29p
COGS 17,A00,3/17/2020,3:00p-5:59p
COGS 100,A00,3/19/2020,7:00p-9:59p
COGS 101A,A00,3/20/2020,8:00a-10:59a
